Name Of Recipe,Image,Ingridients,Procedure,Time (minutes),Budget,Vegan,Dairy
Moroccan Vegetable Stew,stew.jpg,"Vegetable oil, onion, garlic, carrots, courgette, chickpeas, chopped tomatoes, ground cinnamon, ground ginger, ground cumin, ground coriander, water, couscous","Heat 1 tbsp vegetable oil, sauté 1 diced onion and 2 crushed cloves of garlic, add 3 diced medium carrots, 1 diced large courgette, 400g tin chickpeas, 400g tin chopped tomatoes, 1 1/2 tsp ground cinnamon, 1 1/2 tsp ground ginger, 1 1/2 tsp ground cumin, 1/2 tsp ground coriander, 700ml boiling water, prepare 350g couscous separately, and serve stew with couscous.",35,3.9,1,0
Tofu Tacos,taco.jpg,"Vegetable oil, tofu, onion, garlic, ground coriander, ground cumin, hot chilli powder, frozen peppers, black beans, sweetcorn, chopped tomatoes, wholewheat tortillas, Cheddar cheese, iceberg lettuce","Heat 1 tbsp vegetable oil, sauté 280g tofu, 1 diced onion, and 1 crushed clove of garlic; add 1 tsp ground coriander, 1 tsp ground cumin, 1/2 tsp hot chilli powder, 150g frozen peppers; add 400g tin black beans, 200g tin sweetcorn, and 400g tin chopped tomatoes; heat 8 tortillas; assemble tacos with tofu mixture, 50g Cheddar cheese, and 80g iceberg lettuce.",25,4.99,1,0
Lentil Chilli Bake,lentil.jpg,"Brown rice, vegetable oil, red onion, garlic, frozen peppers, ground coriander, ground cumin, smoked paprika, chilli flakes, green lentils, red kidney beans, chopped tomatoes, black pepper, Cheddar cheese","Cook 300g brown rice, heat 1 tbsp vegetable oil, sauté 1 diced large red onion and 2 crushed cloves of garlic, add 150g frozen peppers, 1 tsp ground coriander, 1 tsp ground cumin, 1 tsp smoked paprika, 1/4 tsp chilli flakes, 2 x 400g tins green lentils, 400g tin red kidney beans, 2 x 400g tins chopped tomatoes, black pepper, top with 50g Cheddar cheese.",10,3.86,1,0
Ramen Bowl with Soft-Boiled Eggs,ramen.jpg,"Vegetable oil, onion, garlic, carrot, spring onions, mushrooms, spring cabbage, vegetable stock cube, water, Chinese 5 spice, soy sauce, eggs, egg noodle nests, sesame seeds","Heat 1 tbsp vegetable oil, sauté 1 sliced onion, 1 crushed clove of garlic, 1 sliced carrot, and 1 bunch of spring onions; add 100g mushrooms, 100g spring cabbage, 1 vegetable stock cube, 1.2l water, 1 tsp Chinese 5 spice, 1 tsp soy sauce; boil 4 eggs; cook 125g egg noodles; assemble bowls with noodles, ramen mixture, and eggs.",30,3.03,0,0
Spinach and Sweet Potato Curry,potato.jpg,"Brown rice, vegetable oil, onion, garlic, curry powder, sweet potato, spinach, water, chickpeas","Cook 300g brown rice, heat 1 tbsp vegetable oil, sauté 1 sliced onion and 2 crushed cloves of garlic, add 1 tbsp curry powder, add 500g sweet potato, 250g spinach, 500ml water, simmer, add 400g chickpeas, and simmer again.",30,3.23,1,0
Spaghetti Bake with Butter Beans,spaghetti.jpg,"Spaghetti, vegetable oil, onion, garlic, mushrooms, black pepper, passata, dried basil, dried oregano, butter beans, soft cheese, Cheddar cheese","Cook 300g spaghetti, heat 1 tbsp vegetable oil, sauté 1 diced onion, 2 crushed cloves of garlic, and 150g mushrooms, add black pepper, 500g passata, 1 tsp dried basil, 2 tsp dried oregano, 400g butter beans, mix with spaghetti, bake, and top with 50g Cheddar cheese.",30,3.83,1,0
Fish and Vegetable One-Pot,fish.jpg,"White fish, potatoes, chopped tomatoes, carrots, peas, dried basil, dried oregano, dried mint, black pepper, water","Combine 4 fillets white fish, 2 x 567g potatoes, 2 x 400g chopped tomatoes, 250g carrots, 250g peas, 3 tsp dried basil, 3 tsp dried oregano, 3 tsp dried mint, black pepper, 200ml water in a pan, bring to a boil, reduce heat, and simmer until fish is cooked.",30,5,0,0
Peri-Peri Chicken with Spicy Jollof-Style Rice,peri_peri.jpg,"Vegetable oil, onion, garlic, chicken breasts, cayenne pepper, smoked paprika, ground turmeric, chilli flakes, dried thyme, red pepper, chicken stock cube, water, chopped tomatoes, brown rice, frozen peas","Heat 1 tbsp vegetable oil, sauté 1 diced onion, 2 crushed cloves of garlic, and 4 chicken breasts; add 1 tsp cayenne pepper, 1 tsp smoked paprika, 1 tsp ground turmeric, 1 tsp chilli flakes, 1/2 tsp dried thyme; add 1 sliced red pepper, 1 chicken stock cube, 1 litre water, 400g chopped tomatoes, 300g brown rice, 200g frozen peas.",60,4.29,0,0
Banana and Blackberry Baked Oats,oat.jpg,"Eggs, semi-skimmed milk, rolled oats, baking powder, bananas, blackberries"," Mix 2 eggs, 300ml milk, 100g rolled oats, 1 tsp baking powder, 2 bananas, 200g blackberries and bake in the oven or microwave until cooked.",15,2.14,1,1
Spiced Stewed Pears,pear.jpg,"Pears, ground ginger, ground cinnamon, mixed spice, water, pecans","Combine 4 pears, 1/2 tsp ground ginger, 1 tsp ground cinnamon, 1/2 tsp mixed spice, 500ml water in a saucepan, bring to a boil, simmer until pears are tender, remove pears, and sprinkle with 20g pecans.",30,2.25,1,0
